communityDistrict,poverty_rate
101,32.30%
102,32.30%
103,31.40%
104,34.70%
105,37.10%
106,31.40%
107,30.80%
108,18.60%
109,29.60%
110,14.30%
111,20.00%
112,22.00%
201,15.40%
202,12.00%
203,21.60%
204,24.60%
205,28.90%
206,10.00%
207,23.90%
208,21.10%
209,20.80%
210,17.60%
211,22.60%
212,26.10%
213,25.10%
214,20.40%
215,17.50%
216,29.60%
217,16.80%
218,13.90%
301,7.90%
302,7.90%
303,21.50%
304,11.80%
305,11.80%
306,9.00%
307,9.20%
308,6.30%
309,20.20%
310,20.60%
311,23.70%
312,19.50%
401,16.70%
402,14.80%
403,22.10%
404,23.20%
405,15.60%
406,13.80%
407,22.90%
408,18.90%
409,19.60%
410,17.00%
411,12.50%
412,17.10%
413,10.80%
414,16.60%